distrito,numero_distrito,barrio,numero_barrio,tipo,nueva_construccion,metros2_const,n_habitaciones,n_banos,jardin,piscina,parking,precio_venta,eurosm2_distrito,eurosm2_barrio
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,110.0,3,2.0,False,False,True,270000,2455,1912.8
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,100.0,3,2.0,False,False,True,220000,2200,1912.8
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,88.0,4,1.0,False,False,False,225000,2557,2284.48
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,94.0,2,2.0,False,False,False,225000,2394,2284.48
Usera,District 18,Almendrales,Neighborhood 117,Dúplex,False,186.0,4,3.0,False,True,False,755000,4059,2205.31
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,65.0,3,1.0,False,False,False,116000,1785,2205.31
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,67.0,3,1.0,False,False,False,200000,2985,2284.48
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,102.0,2,1.0,False,False,False,93000,912,2205.31
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,77.0,3,1.0,False,False,False,138000,1792,2284.48
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,70.0,2,1.0,False,False,False,114000,1629,2284.48
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,65.0,3,1.0,False,False,False,147000,2262,2068.64
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Pisos,False,65.0,3,1.0,False,False,False,113000,1738,1637.13
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,68.0,2,1.0,False,False,False,125000,1838,2205.31
Usera,District 18,Zofío,Neighborhood 122,Pisos,False,85.0,3,1.0,False,False,False,127000,1494,1941.38
Usera,District 18,Zofío,Neighborhood 122,Pisos,False,64.0,3,1.0,False,False,False,122000,1906,1941.38
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,74.0,3,1.0,False,False,False,139900,1891,1912.8
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Pisos,False,100.0,3,2.0,False,False,False,182000,1820,1637.13
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,118.0,3,2.0,False,False,False,165000,1398,1931.95
Usera,District 18,Zofío,Neighborhood 122,Pisos,False,67.0,3,1.0,False,False,False,125000,1866,1941.38
Usera,District 18,Pradolongo,Neighborhood 120,Casa o chalet,False,180.0,4,3.0,False,False,True,300000,1667,2068.64
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,90.0,3,2.0,False,False,True,280000,3111,2284.48
Usera,District 18,San Fermín,Neighborhood 121,Áticos,False,220.0,3,2.0,False,True,True,440000,2000,1912.8
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,110.0,3,2.0,False,False,True,255000,2318,1912.8
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,82.0,3,1.0,False,False,False,138000,1683,1912.8
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Casa o chalet,False,114.0,3,2.0,False,False,False,189000,1658,1637.13
Usera,District 18,Almendrales,Neighborhood 117,Áticos,False,170.0,4,2.0,False,False,True,589999,3471,2205.31
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,105.0,3,2.0,False,False,False,144000,1371,1931.95
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Pisos,False,110.0,3,2.0,False,False,False,139000,1264,1637.13
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Pisos,False,74.0,3,1.0,False,False,False,125000,1689,1637.13
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,109.0,3,2.0,False,False,False,155000,1422,1931.95
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,95.0,3,2.0,False,True,True,228000,2400,1931.95
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,90.0,2,1.0,False,False,False,165000,1833,2068.64
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,77.0,3,1.0,False,False,False,155000,2013,2284.48
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,78.0,3,1.0,False,False,False,135000,1731,1912.8
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,114.0,4,2.0,False,False,False,215000,1886,2068.64
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,124.0,3,2.0,False,False,False,159000,1282,2068.64
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,90.0,2,2.0,False,True,True,250000,2778,1912.8
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,118.0,3,2.0,False,True,True,519000,4398,2205.31
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,59.0,2,1.0,False,False,False,119000,2017,1912.8
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,109.0,3,2.0,False,False,False,113000,1037,1931.95
Usera,District 18,Moscardó,Neighborhood 118,Áticos,False,196.0,3,2.0,False,False,True,320000,1633,2284.48
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,85.0,3,1.0,False,False,False,128000,1506,2205.31
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,90.0,2,2.0,False,True,True,225000,2500,1912.8
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,111.0,3,2.0,False,False,False,235000,2117,2284.48
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,85.0,2,1.0,False,True,True,106700,1255,1912.8
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,149.0,3,2.0,False,False,True,279000,1872,1912.8
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,52.0,2,1.0,False,False,False,107000,2058,2284.48
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,61.0,1,1.0,False,False,False,171900,2818,2068.64
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,88.0,2,2.0,False,True,True,250000,2841,1912.8
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,109.0,3,2.0,False,False,True,215000,1972,2205.31
Usera,District 18,Pradolongo,Neighborhood 120,Dúplex,False,94.0,3,2.0,False,False,True,249600,2655,2068.64
